callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
FD412,,7c19bd,VH-FDB,BE20,,YBBN,2020-04-01 01:05:47+00:00,2020-04-01 01:41:18+00:00,2020-04-01 00:00:00+00:00,-26.70904541015625,150.3508024395637,8839.2,-27.37417602539062,153.13459288399181,-22.86
LNI964,,8a024c,PK-LHL,B739,,,2020-04-01 03:40:26+00:00,2020-04-01 05:25:49+00:00,2020-04-01 00:00:00+00:00,-7.076638431872366,108.00895954000539,10058.4,2.898880004882812,99.19760493908899,4533.9000000000015
OAS,,7c46f2,VH-OAS,B06,,YSRI,2020-04-01 04:16:47+00:00,2020-04-01 04:27:34+00:00,2020-04-01 00:00:00+00:00,-33.45723297636391,151.0068558673469,304.8,-33.60489667472194,150.7858657836914,274.32
TRW,,7c62aa,VH-TRW,A109,,YOAS,2020-04-01 07:21:09+00:00,2020-04-01 07:57:43+00:00,2020-04-01 00:00:00+00:00,-33.755264282226555,147.6741868622449,2743.2,-34.11767578125,150.51785216039542,1203.96
JIA5092,OH5092,a96109,N703PS,CRJ7,KGRR,SC08,2020-04-01 10:08:33+00:00,2020-04-01 11:16:54+00:00,2020-04-01 00:00:00+00:00,42.87968444824219,-85.51297919694768,304.8,35.088283732786024,-81.06622695922852,2148.84
N888SN,,ac3d2a,N888SN,,KFRG,KFRG,2020-04-01 13:52:39+00:00,2020-04-01 14:56:59+00:00,2020-04-01 00:00:00+00:00,40.73725891113281,-73.41400146484375,0.0,40.730414956302965,-73.41339111328125,91.44
SKW5714,,a19ecf,N203SY,E75L,,CO12,2020-04-01 14:14:01+00:00,2020-04-01 15:33:21+00:00,2020-04-01 00:00:00+00:00,32.08156779661017,-110.76752331792092,2743.2,39.951083942995226,-104.69546231356529,2011.68
ENY3691,,a1ed5f,N223NN,E75L,KDFW,,2020-04-01 17:43:12+00:00,2020-04-01 18:49:55+00:00,2020-04-01 00:00:00+00:00,32.89320606296345,-97.03001684072063,304.8,26.283440024165785,-100.2230952336238,11582.4
N350BT,,a3e4f8,N350BT,,K47N,KLDJ,2020-04-01 18:06:39+00:00,2020-04-01 18:30:21+00:00,2020-04-01 00:00:00+00:00,40.54829406738281,-74.431396484375,609.6,40.57884086996822,-74.36077464710583,449.58
ENY3691,,a1ed5f,N223NN,E75L,,KDFW,2020-04-01 21:32:01+00:00,2020-04-01 22:37:15+00:00,2020-04-01 00:00:00+00:00,26.77428681971663,-100.2718998835637,11887.2,32.919089107190146,-97.00972576530614,312.42
BXO,,7c085a,,,,YOAS,2020-04-02 04:08:05+00:00,2020-04-02 06:07:40+00:00,2020-04-02 00:00:00+00:00,-30.00389487056409,152.80944213867193,2133.6,-34.11045397742322,150.4738998413086,1363.98
JIA5092,OH5092,a78246,N583NN,CRJ9,KGRR,SC08,2020-04-02 10:15:30+00:00,2020-04-02 11:26:57+00:00,2020-04-02 00:00:00+00:00,42.87838176145392,-85.52660260881697,0.0,35.08954064320709,-81.06405258178711,2110.74
SKW5714,OO5714,ac8e89,N908SW,CRJ2,,KDEN,2020-04-02 14:22:34+00:00,2020-04-02 15:44:48+00:00,2020-04-02 00:00:00+00:00,32.09883867684057,-110.69740139708229,3048.0,39.83454895019531,-104.6875265370244,1836.42
ENY3691,,a28b5b,N263NN,,KDFW,,2020-04-02 18:00:01+00:00,2020-04-02 19:08:41+00:00,2020-04-02 00:00:00+00:00,32.88894653320312,-97.03026123046872,304.8,26.25315856933594,-99.95024483158905,10972.8
ENY3691,,a28b5b,N263NN,,,KDFW,2020-04-02 21:34:51+00:00,2020-04-02 22:41:47+00:00,2020-04-02 00:00:00+00:00,26.53807067871094,-100.20277491155659,11277.6,32.9293212890625,-97.02586669921872,281.94
N310TN,,a34887,N310TN,,CL36,KSTS,2020-04-02 22:43:11+00:00,2020-04-02 23:02:20+00:00,2020-04-02 00:00:00+00:00,38.61698913574219,-122.83061151919159,914.4,38.44317626953125,-122.7738886294158,426.72
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWG,2020-04-02 23:38:10+00:00,2020-04-02 23:50:29+00:00,2020-04-02 00:00:00+00:00,53.4728331485037,8.137799431295958,304.8,53.78943491790254,8.06614595301011,434.34
CSX,,7c0cbf,,,YSCN,YOAS,2020-04-03 02:38:13+00:00,2020-04-03 04:00:49+00:00,2020-04-03 00:00:00+00:00,-34.021316528320305,150.6612349529656,609.6,-34.15477170782577,150.4375076293945,1684.02
LNI964,,8a024c,PK-LHL,B739,,,2020-04-03 02:56:36+00:00,2020-04-03 04:44:26+00:00,2020-04-03 00:00:00+00:00,-7.1509552001953125,108.2159372103416,9448.8,3.385697704250529,99.38682293069773,3406.14
JIA5092,OH5092,a70bc9,N553NN,CRJ9,KGRR,KUZA,2020-04-03 10:18:48+00:00,2020-04-03 11:32:46+00:00,2020-04-03 00:00:00+00:00,42.87526276152013,-85.51640101841518,0.0,35.060256958007805,-81.0549428511639,2148.84
DAL3124,DL3124,a3ac7a,N336DX,,KPHX,KSLC,2020-04-03 13:07:42+00:00,2020-04-03 14:16:50+00:00,2020-04-03 00:00:00+00:00,33.431076049804695,-112.01978759765622,304.8,40.83096313476562,-112.10107421875,3192.78
DEJFC,,3d1cf0,,,EDAQ,EDVK,2020-04-03 13:54:25+00:00,2020-04-03 14:53:29+00:00,2020-04-03 00:00:00+00:00,51.558837890625,11.98432922363281,304.8,51.40786898338188,9.44915771484375,403.86
SKW5714,OO5714,ad3dba,N952SW,CRJ2,KDMA,KDEN,2020-04-03 14:28:57+00:00,2020-04-03 15:50:13+00:00,2020-04-03 00:00:00+00:00,32.166385973914196,-110.8087220483897,2438.4,39.83395385742188,-104.6875862453295,1760.22
DEJFC,,3d1cf0,,,EDVK,EDGK,2020-04-03 15:18:17+00:00,2020-04-03 15:30:30+00:00,2020-04-03 00:00:00+00:00,51.42090360997086,9.35546875,304.8,51.19936151019597,8.935089111328125,883.9200000000002
ENY3691,,a2bdff,N276NN,,KDFW,,2020-04-03 17:51:30+00:00,2020-04-03 19:04:25+00:00,2020-04-03 00:00:00+00:00,32.90032855534957,-97.03035315688776,304.8,26.348054530256878,-100.1893967848558,10972.8
N4774D,,a5de03,N4774D,,KPOC,KCCB,2020-04-03 19:13:56+00:00,2020-04-03 20:04:59+00:00,2020-04-03 00:00:00+00:00,34.09364861957097,-117.8298568725586,304.8,34.15640103614936,-117.69201278686519,891.5400000000002
ENY3691,,a2bdff,N276NN,,,KDFW,2020-04-03 21:46:31+00:00,2020-04-03 22:43:40+00:00,2020-04-03 00:00:00+00:00,28.19013977050781,-101.0381962702825,11277.6,32.844589233398445,-97.02636108398434,350.52
OAS,,7c46f2,VH-OAS,B06,YSRI,,2020-04-03 22:04:12+00:00,2020-04-03 22:27:59+00:00,2020-04-03 00:00:00+00:00,-33.565750122070305,150.7351124043367,609.6,-33.218307495117195,150.3397705078125,1158.24
N310TN,,a34887,N310TN,,,KSTS,2020-04-03 23:14:27+00:00,2020-04-03 23:37:12+00:00,2020-04-03 00:00:00+00:00,38.368307857190146,-122.9193380604619,914.4,38.46467098947299,-122.71331787109379,601.98
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWG,2020-04-03 23:34:06+00:00,2020-04-03 23:49:54+00:00,2020-04-03 00:00:00+00:00,53.473438327595346,8.143454159007353,304.8,53.878768662274894,7.885033102596508,411.48
CFI,,7c0adc,,,,YOAS,2020-04-04 02:08:06+00:00,2020-04-04 02:24:19+00:00,2020-04-04 00:00:00+00:00,-34.52937756554559,150.3487586975098,1219.2,-34.132007663532875,150.5609321594238,1066.8
