N620FB,,a816bc,N620FB,PC12,KDVT,,2020-04-10 16:52:07+00:00,2020-04-10 18:39:35+00:00,2020-04-10 00:00:00+00:00,33.68792724609375,-112.0780913683833,304.8,38.9853515625,-119.0777654233186,5707.38
KXW,,7c35f2,,,YPJT,YPJT,2020-04-23 10:16:14+00:00,2020-04-23 10:50:36+00:00,2020-04-23 00:00:00+00:00,-32.10135249768274,115.8720179966518,0.0,-32.085800170898445,115.89774169921878,99.06
DEJFC,,3d1cf0,,,EDAQ,EDAY,2020-04-11 11:44:27+00:00,2020-04-11 12:39:04+00:00,2020-04-11 00:00:00+00:00,51.543429099907314,12.11921691894531,0.0,52.57319641113281,13.90289306640625,22.86
JIA5092,OH5092,a6aac2,N529EA,CRJ7,KGRR,SC08,2020-04-28 10:09:46+00:00,2020-04-28 11:22:20+00:00,2020-04-28 00:00:00+00:00,42.86581265724311,-85.51404680524553,304.8,35.10429770259534,-81.05844497680664,1722.12
WHS2AE,,3df79c,D-HOAE,EC45,EDWI,EDWI,2020-04-15 20:44:03+00:00,2020-04-15 21:43:28+00:00,2020-04-15 00:00:00+00:00,53.57835388183594,8.173121861049108,304.8,53.4971923828125,8.049447195870536,22.86
FD412,,7c19bd,VH-FDB,BE20,YBBN,YPAC,2020-04-27 05:47:57+00:00,2020-04-27 06:23:21+00:00,2020-04-27 00:00:00+00:00,-27.38360595703125,153.1292033645342,-304.8,-25.147658525887213,152.4729257259729,1752.6
N888SN,,ac3d2a,N888SN,,KFRG,KFRG,2020-04-04 15:18:11+00:00,2020-04-04 16:22:42+00:00,2020-04-04 00:00:00+00:00,40.73941040039062,-73.4141845703125,0.0,40.64891052246094,-73.34271240234375,22.86
LNI964,,8a024c,PK-LHL,B739,,,2020-04-03 02:56:36+00:00,2020-04-03 04:44:26+00:00,2020-04-03 00:00:00+00:00,-7.1509552001953125,108.2159372103416,9448.8,3.385697704250529,99.38682293069773,3406.14
ENY3691,,a28b5b,N263NN,,KDFW,,2020-04-02 18:00:01+00:00,2020-04-02 19:08:41+00:00,2020-04-02 00:00:00+00:00,32.88894653320312,-97.03026123046872,304.8,26.25315856933594,-99.95024483158905,10972.8
N310TN,,a34887,N310TN,,CL36,KSTS,2020-04-02 22:43:11+00:00,2020-04-02 23:02:20+00:00,2020-04-02 00:00:00+00:00,38.61698913574219,-122.83061151919159,914.4,38.44317626953125,-122.7738886294158,426.72
OAS,,7c46f2,VH-OAS,B06,YSRI,YSRI,2020-04-22 03:45:30+00:00,2020-04-22 05:30:19+00:00,2020-04-22 00:00:00+00:00,-33.59619140625,150.7844924926758,0.0,-33.60252251059325,150.74832916259768,274.32
DAL3124,DL3124,a466d2,N383DZ,,KPHX,KBTF,2020-04-19 13:09:30+00:00,2020-04-19 14:22:59+00:00,2020-04-19 00:00:00+00:00,33.43107061871027,-112.0152002451371,304.8,40.90982728085275,-112.110859264027,2979.42
